===============================================================================
Id,AAPL,len,datetime,open,high,low,close,volume,openinterest,adjclose,SmaCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,AAPL,1,2014-01-02 23:59:59.999989,71.07,71.25,70.61,70.75,65530591.0,0.0,70.74733,SmaCross,1,735235.9999999999,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,AAPL,2,2014-01-03 23:59:59.999989,70.71,70.82,69.12,69.19,109587980.0,0.0,69.193306,SmaCross,2,735236.9999999999,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,AAPL,3,2014-01-06 23:59:59.999989,68.74,69.94,68.25,69.57,115212517.0,0.0,69.570625,SmaCross,3,735239.9999999999,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,AAPL,4,2014-01-07 23:59:59.999989,69.62,69.83,68.8,69.07,88573725.0,0.0,69.073074,SmaCross,4,735240.9999999999,Broker,4,10000.0,10000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,AAPL,5,2014-01-08 23:59:59.999989,68.92,69.78,68.9,69.51,72188698.0,0.0,69.510536,SmaCross,5,735241.9999999999,Broker,5,10000.0,10000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,AAPL,6,2014-01-09 23:59:59.999989,69.94,69.95,68.47,68.62,77946175.0,0.0,68.622864,SmaCross,6,735242.9999999999,Broker,6,10000.0,10000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,AAPL,7,2014-01-10 23:59:59.999989,69.05,69.17,67.93,68.16,85157861.0,0.0,68.164963,SmaCross,7,735243.9999999999,Broker,7,10000.0,10000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,AAPL,8,2014-01-13 23:59:59.999989,67.78,69.39,67.77,68.52,105685834.0,0.0,68.521805,SmaCross,8,735246.9999999999,Broker,8,10000.0,10000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,AAPL,9,2014-01-14 23:59:59.999989,68.84,69.93,68.77,69.89,92860525.0,0.0,69.885277,SmaCross,9,735247.9999999999,Broker,9,10000.0,10000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,AAPL,10,2014-01-15 23:59:59.999989,70.8,71.65,70.56,71.29,109356526.0,0.0,71.288383,SmaCross,10,735248.9999999999,Broker,10,10000.0,10000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,AAPL,11,2014-01-16 23:59:59.999989,70.97,71.22,70.56,70.89,64020845.0,0.0,70.890602,SmaCross,11,735249.9999999999,Broker,11,10000.0,10000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,AAPL,12,2014-01-17 23:59:59.999989,70.54,70.61,69.06,69.15,119157694.0,0.0,69.153648,SmaCross,12,735250.9999999999,Broker,12,10000.0,10000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,AAPL,13,2014-01-21 23:59:59.999989,69.19,70.36,69.12,70.23,91733909.0,0.0,70.228043,SmaCross,13,735254.9999999999,Broker,13,10000.0,10000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,AAPL,14,2014-01-22 23:59:59.999989,70.46,71.28,70.07,70.54,106102525.0,0.0,70.540138,SmaCross,14,735255.9999999999,Broker,14,10000.0,10000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,AAPL,15,2014-01-23 23:59:59.999989,70.34,71.18,69.68,71.14,112595704.0,0.0,71.137444,SmaCross,15,735256.9999999999,Broker,15,10000.0,10000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,AAPL,16,2014-01-24 23:59:59.999989,70.86,71.07,69.68,69.84,119887931.0,0.0,69.84433,SmaCross,16,735257.9999999999,Broker,16,10000.0,10000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,AAPL,17,2014-01-27 23:59:59.999989,70.36,70.96,69.8,70.41,154937731.0,0.0,70.410957,SmaCross,17,735260.9999999999,Broker,17,10000.0,10000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
