===============================================================================
Id,AMZN,len,datetime,open,high,low,close,volume,openinterest,adjclose,SmaCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,AMZN,1,2014-01-02 23:59:59.999989,398.8,399.36,394.02,397.97,2137800.0,0.0,397.970001,SmaCross,1,735235.9999999999,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,AMZN,2,2014-01-03 23:59:59.999989,398.29,402.71,396.22,396.44,2210200.0,0.0,396.440002,SmaCross,2,735236.9999999999,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,AMZN,3,2014-01-06 23:59:59.999989,395.85,397.0,388.42,393.63,3170600.0,0.0,393.630005,SmaCross,3,735239.9999999999,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,AMZN,4,2014-01-07 23:59:59.999989,395.04,398.47,394.29,398.03,1916000.0,0.0,398.029999,SmaCross,4,735240.9999999999,Broker,4,10000.0,10000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,AMZN,5,2014-01-08 23:59:59.999989,398.47,403.0,396.04,401.92,2316500.0,0.0,401.920013,SmaCross,5,735241.9999999999,Broker,5,10000.0,10000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,AMZN,6,2014-01-09 23:59:59.999989,403.71,406.89,398.44,401.01,2103000.0,0.0,401.01001,SmaCross,6,735242.9999999999,Broker,6,10000.0,10000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,AMZN,7,2014-01-10 23:59:59.999989,402.53,403.76,393.8,397.66,2679500.0,0.0,397.660004,SmaCross,7,735243.9999999999,Broker,7,10000.0,10000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,AMZN,8,2014-01-13 23:59:59.999989,397.98,399.78,388.45,390.98,2844900.0,0.0,390.980011,SmaCross,8,735246.9999999999,Broker,8,10000.0,10000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,AMZN,9,2014-01-14 23:59:59.999989,392.13,398.63,391.29,397.54,2340100.0,0.0,397.540009,SmaCross,9,735247.9999999999,Broker,9,10000.0,10000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,AMZN,10,2014-01-15 23:59:59.999989,398.94,399.31,392.53,395.87,2678300.0,0.0,395.869995,SmaCross,10,735248.9999999999,Broker,10,10000.0,10000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,AMZN,11,2014-01-16 23:59:59.999989,393.68,399.29,389.41,395.8,2601200.0,0.0,395.799988,SmaCross,11,735249.9999999999,Broker,11,10000.0,10000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,AMZN,12,2014-01-17 23:59:59.999989,394.26,403.49,393.66,399.61,4505100.0,0.0,399.609985,SmaCross,12,735250.9999999999,Broker,12,10000.0,10000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,AMZN,13,2014-01-21 23:59:59.999989,403.0,407.8,401.6,407.05,3122100.0,0.0,407.049988,SmaCross,13,735254.9999999999,Broker,13,10000.0,10000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,AMZN,14,2014-01-22 23:59:59.999989,408.0,408.06,402.0,404.54,2060500.0,0.0,404.540009,SmaCross,14,735255.9999999999,Broker,14,10000.0,10000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,AMZN,15,2014-01-23 23:59:59.999989,401.0,406.17,397.79,399.87,3025400.0,0.0,399.869995,SmaCross,15,735256.9999999999,Broker,15,10000.0,10000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,AMZN,16,2014-01-24 23:59:59.999989,398.16,400.2,387.27,387.6,4458400.0,0.0,387.600006,SmaCross,16,735257.9999999999,Broker,16,10000.0,10000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,AMZN,17,2014-01-27 23:59:59.999989,390.5,394.1,380.49,386.28,3936800.0,0.0,386.279999,SmaCross,17,735260.9999999999,Broker,17,10000.0,10000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,AMZN,18,2014-01-28 23:59:59.999989,387.4,394.74,387.12,394.43,2894500.0,0.0,394.429993,SmaCross,18,735261.9999999999,Broker,18,10000.0,10000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,AMZN,19,2014-01-29 23:59:59.999989,392.16,392.85,383.24,384.2,3382300.0,0.0,384.200012,SmaCross,19,735262.9999999999,Broker,19,10000.0,10000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
